Structure	Sample ID	EPK_PI3Kd / IC50 [µM]_Q	EPK_PI3Kd / IC50 [µM]	EPK_PI3Ka / IC50 [µM]_Q	EPK_PI3Ka / IC50 [µM]	EPK_PI3Kb / IC50 [µM]_Q	EPK_PI3Kb / IC50 [µM]	EPK_PI3Kg / IC50 [µM]_Q	EPK_PI3Kg / IC50 [µM]	Cells PI3Kd / IC50 [nM]_Q	Cells PI3Kd / IC50 [nM]	Cells PI3Ka / IC50 [nM]_Q	Cells PI3Ka / IC50 [nM]	Cells PI3Kb / IC50 [nM]_Q	Cells PI3Kb / IC50 [nM]	mCD86test / IC50 CD86 [nmol l-1]_Q	mCD86test / IC50 CD86 [nmol l-1]	BM Prolif. / IC50 [nmol l-1]_Q	BM Prolif. / IC50 [nmol l-1]	HT-logPo/w / logP o/w_Q	HT-logPo/w / logP o/w	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]_Q	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]	HT-perm / logPe pH6.8_Q	HT-perm / logPe pH6.8	HT-Eq Sol / pH 6.8 (g/l)_Q	HT-Eq Sol / pH 6.8 (g/l)	HT-pKa / pKa1_Q	HT-pKa / pKa1	HT-pKa / pKa2_Q	HT-pKa / pKa2	HT-pKa / pKa3_Q	HT-pKa / pKa3
C4(=CC=C1C(C(=NC=N1)C2=CC(=CC=C2)C(=O)N3CCN(CC3)C(=O)C)=C4)C5C=CC(=NC=5)OC	NVP-BXN061-NX-1		0.02		0.418		4.84		2.644		278	>	10000	>	10000		69.5		2869.5		1.9		67.3						3.2				
C1(C=C2C(=CC=1)N=CN=C2C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CC(=C(C=C5)OC)OC	NVP-BQT691-NX-3		0.0045		0.092		1.271		0.328		256		1849		8599		38.5						61.1		-5.1	>	0.497						
C1(=CC=C3C(=C1)C(C2=CC(=CC=C2)C(NCCN(C)C)=O)=NC=N3)C4=CC(=C(C=C4)OC)OC	NVP-BXS874-NX-1		0.038		1.066		4.265	>	9.1		532		1699		3227		124.0				3.6		56.9		-5.0	>	0.457						
C2(C1=CC(=C(C=C1)OC)OC)=CC=C5C(=C2)C(C3=CC(=CN=C3)C(N4CCN(CC4)C(=O)C)=O)=NC=N5	NVP-BXT785-NX-1		0.016		0.29		4.117		4.987		417	>	10000	>	10000		95.0		3209.0		2.2		37.5		-6.2	>	0.498						
C1(C=C2C(=CC=1)N=CN=C2C3=CC(=CC=C3)C(NCCNC(=O)OC(C)(C)C)=O)C4=CC(=C(C=C4)OC)OC	NVP-BXT796-NX-1		0.079		0.396		4.812		1.114												4.7		93.3		-4.2		0.0080						
C5N6C(CN(C(C4C=C(C3=NC=NC2=CC=C(C1=CC(=C(C=C1)OC)OC)C=C23)C=CC=4)=O)C5)=NC=C6	NVP-BXT798-NX-1		0.006		0.076		0.82		0.434		519		885		3170						3.1		91.9		-4.8		0.096		3.3				
C5N6C(CN(C(=O)C4C=C(C3=NC=NC2=CC=C(C1C=CC(OC)=C(OC)C=1)C=C23)C=CC=4)C5)=NC=C6C	NVP-BXT800-NX-1		0.0051		0.066		1.051		0.941		410		709		2254						3.2		88.6		-4.7		0.084		3.5				
C1N6C(CN(C1)C(C5C=C(C4=NC=NC3=CC=C(C2=CC(=C(C=C2)OC)OC)C=C34)C=CC=5)=O)=NN=C6CC	NVP-BXT802-NX-1		0.015		0.115		0.536		0.522	>	10000	>	10000	>	10000						2.2		56.5		-9.2	>	0.521		3.5				
C5(C(F)(F)F)=CC(C4=CC3=C(C2C=C(C(N1CCN(CC1)C(=O)C)=O)C=CC=2)N=CN=C3C=C4)=CC=C5OC	NVP-BSC349-NX-1		0.0052		0.618		2.527		0.938		383		5142	>	10000		361.0				3.7												
C1(C=CC=C(C(=O)NCCN)C=1)C2=C3C(=NC=N2)C=CC(=C3)C4C=CC(OC)=C(OC)C=4	NVP-BXU481-AA-1		0.017		0.126		0.374		0.272												2.8		36.4		-8.9	>	0.465						
C(NCCNC(=O)C)(C1C=C(C=CC=1)C2=C3C(=NC=N2)C=CC(=C3)C4=CC(OC)=C(C=C4)OC)=O	NVP-BXU693-NX-1		0.013		0.085		0.8		0.5												2.8		82.8		-6.7		0.015						
C(NCCNC(=O)CC(C)(C)C)(C1C=C(C=CC=1)C2=C3C(=NC=N2)C=CC(=C3)C4C=CC(=C(OC)C=4)OC)=O	NVP-BXU743-NX-1		0.043		0.329		3.53		2.606												4.1		71.6		-4.9		0.03		3.4				
C1(C=C2C(=CC=1)N=CN=C2C3=CC(=CC=C3)C(N5CCN(C4(CC4)C5)CC6=CC=CC=C6)=O)C7=CC(=C(C=C7)OC)OC	NVP-BXU939-NX-1		0.012		0.198		9.01		0.311												4.9		94.0		-5.2	<	0.0020		3.7				
C1(C=C2C(=CC=1)N=CN=C2C3=CC(=CC=C3)C(N5CCNC4(CC4)C5)=O)C6=CC(=C(C=C6)OC)OC	NVP-BXW169-AI-1		0.026		0.268		4.953		1.934		252		631		7544						2.9		93.6		-4.2		0.481						
C1(C=C2C(=CC=1)N=CN=C2C3C=CC=C(C=3)C(=O)N4CCN(C(=O)OC(C)(C)C)CC4)C5=CC(=C(C=C5)OC)OC	NVP-BQT688-NX-1		0.012		0.194		3.212		0.978																								
C1(C=CC=C(C=1)C(N2CCNCC2)=O)C3N=CN=C4C=3C=C(C=C4)C5=CC(=C(C=C5)OC)OC	NVP-BYC089-AI-1		0.014		0.106		0.631		0.43														72.6		-4.1	>	0.569						
C4(C1=CC(=C(C=C1)OC)OC)=CC=C3N=CN=C(C2=CC(=CN=C2)C(NCCNC(=O)OC(C)(C)C)=O)C3=C4	NVP-BYD503-NX-1		0.132		0.456		3.9		1.116												3.5		93.3		-4.8								
C1(C=C2C(=CC=1)N=CN=C2C4C=NC=C(C(N3CCN(CC3)C(=O)C)=O)C=4)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BYD535-NX-1		0.01		0.085		0.61		6.261		2450	>	10000	>	10000						2.2		34.7		-7.1				3.5				
C1(C=C2C(=CC=1)N=CN=C2C4C=NC=C(C(N3CCN(CC3)C)=O)C=4)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BYD651-NX-1		0.0031		0.054		0.737		1.733		89		1182	>	10000		18.2		1070.5		2.2		60.0		-5.5	>	0.493		3.7		6.3		
C1(C=NC=C(C(NCCN)=O)C=1)C2=C3C(=NC=N2)C=CC(=C3)C4C=CC(=C(OC)C=4)OC	NVP-BYD982-AI-1		0.068		0.306		0.782		2.066												1.8		37.1	<	-5.7	>	0.544						
C(NCCNC(=O)C)(C1C=C(C=NC=1)C2=C3C(=NC=N2)C=CC(=C3)C4=CC(OC)=C(C=C4)OC)=O	NVP-BYE537-NX-1		0.046		0.187		1.596		1.964																								
C1(C=NC=C(C(N(C)C)=O)C=1)C2N=CN=C3C=2C=C(C=C3)C4=CC(=C(C=C4)OC)OC	NVP-BYE898-NX-1		0.06		0.197		1.537		0.743												2.4		57.3		-3.9	>	0.414		3.0				
C4(C1=CN=C(C(=C1)C(F)(F)F)N)=CC=C2C(C(=NC=N2)C3=CC(=CN=C3)C(=O)NCCN(C)C)=C4	NVP-BYG830-NX-1		0.018		0.031		0.186		1.574																								
C4(C1=CC(=C(C=C1)OC)OC)=CC=C3N=CN=C(C2=CC(=CN=C2)C(NCCN(C)C)=O)C3=C4	NVP-BYH663-NX-1		0.043		0.251		1.626		1.4												3.0		43.3		-5.9	>	0.458						
C34C(C2=CC(C(N1CCN(CC1)C(=O)C)=O)=CC=C2)=NC=NC3=CC=C(C=4)C5C=C(C#N)C=NC=5	NVP-BSC351-AI-3		0.072		1.648		3.675		2.856	>	10000	>	10000	>	10000						1.9		37.5		-6.6		0.417						
C4(C=C3C(C1=CC(=CC=C1)C(N2CCN(CC2)C(=O)C)=O)=NC=NC3=CC=4)C5=CN=CC(OC)=C5	NVP-BYI756-AI-1		0.024		0.258		1.796		0.597		2302	>	10000	>	10000								50.1		-6.0	>	0.582		3.9				
C2(C1=CN=C(C=C1)C)=CC=C3C(=C2)C(=NC=N3)C4=CC(=CC=C4)C(N5CCN(C(=O)C)CC5)=O	NVP-BYI777-AI-1		0.009		0.589		4.224		3.704		1516	>	10000	>	10000						2.2		58.5		-5.9	>	0.566		4.6				
C4(C=C1C(N=CN=C1C2=CC(=CC=C2)C(N3CCN(CC3)C(=O)C)=O)=CC=4)C5=CN=C(N(C)C)C=C5	NVP-BYI781-AI-1		0.02		0.347		5.142		2.008		1430	>	10000	>	10000		525.0				2.9		74.6		-5.1	>	0.595		5.4				
C5(C1C=NN(C=1)C)=CC=C2C(C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)=C5	NVP-BYI793-AI-1		0.072		2.296	>	9.1		5.391	>	10000	>	10000	>	10000						2.4		32.9		-6.8	>	0.555						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C(=O)C)=O)C5=CN=C(F)C=C5	NVP-BYJ978-AI-1		0.048		0.452		6.657		0.484	>	10000	>	10000	>	10000								49.4		-5.7	>	0.57						
C2(C1=CN=C(C(=C1)C)F)=CC=C3C(=C2)C(=NC=N3)C4=CC(=CC=C4)C(=O)N5CCN(C(=O)C)CC5	NVP-BYJ980-AI-1		0.016		0.151		2.018		0.356		2114	>	10000	>	10000		330.0						80.6		-5.5	>	0.584						
C2(C=C1C(=NC=NC1=CC=2)C3C=C(C=C(C=3)C(N4CCN(CC4)C(=O)C)=O)F)C5=CC=C(C(=C5)OC)OC	NVP-BYK397-NX-1		0.018		0.293		3.891		0.904		468		2556	>	10000		65.0		807.5		1.9		51.8		-4.8		0.042						
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CCN(CC3)C(=O)C)=O)=CC(F)=C4)C5C=C(C(=NC=5)N)C(F)(F)F	NVP-BYK399-NX-1		0.0047		0.067		0.805		0.928		648		5720	>	10000						2.6		59.5		-5.3		0.043		3.3				
C34C(C2C=C(C(NC1CCN(C)CC1)=O)C=CC=2)=NC=NC3=CC=C(C=4)C5C=C(C(OC)=CC=5)OC	NVP-BRJ664-AI-2		0.008		0.023		0.263		1.03														47.6		-5.6	>	0.597						
C4(C=C1C(N=CN=C1C2=CC(=CC=C2)C(N3CC(NCC3)=O)=O)=CC=4)C5C=CC(=C(OC)C=5)OC	NVP-BYL860-NX-1		0.041		0.089		0.667		0.331														50.5		-6.7	>	0.469						
C2(C=C1C(=NC=NC1=CC=2)C3C=CC=C(C=3)C(NC4CCN(CC4)C(=O)C)=O)C5=CC(OC)=C(OC)C=C5	NVP-BYL862-NX-1		0.016		0.042		0.854		0.536														58.1		-5.8		0.25						
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(NC3CCCN(C3)C)=O)=CC=C4)C5=CC(=C(C=C5)OC)OC	NVP-BYL866-AI-1		0.011		0.023		0.509		0.388														65.6		-4.4	>	0.597						
C34C(C2C=C(C(N1CCN(C)CCC1)=O)C=CC=2)=NC=NC3=CC=C(C=4)C5C=C(C(OC)=CC=5)OC	NVP-BRJ652-AI-2		0.01		0.112		0.538		0.198		320		963		2159		23.5		1451.5				87.7		-4.4	>	0.597						
