SMILES	synton_id	synton#	reaction_id
[U]c([nH]nc1)c1-c(nn1)c[n]1[Np]	015119586-618282196	0	benzoimidazole_b-8
NC(C1)(CC1c(nn1)c[n]1[Np])[U]	717538373-633456329	0	benzoimidazole_b-8
NC(Cc(nn1)c[n]1[Np])[U]	373446163-274231227	0	benzoimidazole_b-8
CN(Cc(nn1)c[n]1[Np])C[U]	325091248-972805118	0	benzoimidazole_b-8
[U]C(C1)(C2)CC12c(nn1)c[n]1[Np]	061213233-097181375	0	benzoimidazole_b-8
[U]c1cc(-c(nn2)c[n]2[Np])c[s]1	489856192-842142322	0	benzoimidazole_b-8
[U]Cc(nn1)c[n]1[Np]	407472317-273679983	0	benzoimidazole_b-8
CC(c(nn1)c[n]1[Np])[U]	806728351-008639953	0	benzoimidazole_b-8
[U]COCCc(nn1)c[n]1[Np]	434104300-081818170	0	benzoimidazole_b-8
[U]COCCCc(nn1)c[n]1[Np]	050082021-014113879	0	benzoimidazole_b-8
[U]c1cnc(-c(nn2)c[n]2[Np])[o]1	234749141-162088249	0	benzoimidazole_b-8
[U]CNCc(nn1)c[n]1[Np]	722090507-176039399	0	benzoimidazole_b-8
[U]C1(CC1)c(nn1)c[n]1[Np]	497145690-339049816	0	benzoimidazole_b-8
[U]c(nn1)c[n]1[Np]	922455347-788847077	0	benzoimidazole_b-8
[U]c1c[o]c(-c(nn2)c[n]2[Np])n1	039393328-357444062	0	benzoimidazole_b-8
CC(C)(c(nn1)c[n]1[Np])[U]	272185803-243122365	0	benzoimidazole_b-8
NC(Cc(nn1)c[n]1[Np])C[U]	178778844-826456234	0	benzoimidazole_b-8
N[C@H](CCc(nn1)c[n]1[Np])[U]	984726743-346208695	0	benzoimidazole_b-8
FC(Cc(nn1)c[n]1[Np])[U]	154968621-052512837	0	benzoimidazole_b-8
CC(Cc(nn1)c[n]1[Np])[U]	862333647-166729791	0	benzoimidazole_b-8
N#Cc1ccc(C(C[Np])=O)[s]1	956652961-712098415	1	benzoimidazole_b-8
CC(O1)=NN(CC[Np])C1=O	975658575-623372445	1	benzoimidazole_b-8
CC(C)=C(C[Np])F	580137313-916741585	1	benzoimidazole_b-8
Cc1ccc(CC[Np])cc1	080302797-567374593	1	benzoimidazole_b-8
O=C(C[Np])c(c(F)ccc1)c1Cl	847139309-980747579	1	benzoimidazole_b-8
COC(C=CC[Np])=O	800302143-658469647	1	benzoimidazole_b-8
[Np]Cc1c[n](cc[s]2)c2n1	658923304-981616374	1	benzoimidazole_b-8
OC(CBr)C(C[Np])O	538680528-108609378	1	benzoimidazole_b-8
[Np]Cc(cc1)cc2c1[nH]cn2	275665407-122554481	1	benzoimidazole_b-8
COC(c1ncc(C[Np])cc1)=O	091295010-054898540	1	benzoimidazole_b-8
OC(C(C(Br)[Np])=O)=O	856864665-460027275	1	benzoimidazole_b-8
CCCN(CCC)CC[Np]	360224014-537905892	1	benzoimidazole_b-8
Fc1cnc(C[Np])cc1	356438047-680472401	1	benzoimidazole_b-8
CC(C)(C)CC(NCCC[Np])=O	355851025-040986365	1	benzoimidazole_b-8
CCCCCCCC[Np]	145663149-025493983	1	benzoimidazole_b-8
[Np]CCCc1nnn[nH]1	976437634-140485552	1	benzoimidazole_b-8
[Np]CC1C2(CCC2)CCCC1	766722274-119008404	1	benzoimidazole_b-8
CC(C)Cc1c(C[Np])cccc1	905024844-327785370	1	benzoimidazole_b-8
[Np]CC1CCC2(CC2)CC1	396914794-793752184	1	benzoimidazole_b-8
CC1(C[Np])OCCO1	117204280-530473110	1	benzoimidazole_b-8
Clc(c(Cl)c1)cc([nH]2)c1nc2[U]	558027358-494530800	2	benzoimidazole_b-8
Brc(c(Br)c1)cc([nH]2)c1nc2[U]	545717376-894818930	2	benzoimidazole_b-8
[U]c1nc(cccc2)c2[nH]1	389373490-231764480	2	benzoimidazole_b-8
Nc(c(N)c1)cc([nH]2)c1nc2[U]	314787169-359446865	2	benzoimidazole_b-8
Brc(c([nH]1)c2nc1[U])ccc2Br	578542196-390029402	2	benzoimidazole_b-8
Cc(c(C)c1)cc([nH]2)c1nc2[U]	921997325-885238529	2	benzoimidazole_b-8
Fc(c([nH]1)c2nc1[U])ccc2F	415070846-064073460	2	benzoimidazole_b-8
