SMILES	synton_id	synton#	reaction_id
[1*]c([nH]nc1)c1-c(nn1)c[n]1[2*]	015119586-618282196	0	benzoimidazole_b-8
NC(C1)(CC1c(nn1)c[n]1[2*])[1*]	717538373-633456329	0	benzoimidazole_b-8
NC(Cc(nn1)c[n]1[2*])[1*]	373446163-274231227	0	benzoimidazole_b-8
CN(Cc(nn1)c[n]1[2*])C[1*]	325091248-972805118	0	benzoimidazole_b-8
[1*]C(C1)(C2)CC12c(nn1)c[n]1[2*]	061213233-097181375	0	benzoimidazole_b-8
[1*]c1cc(-c(nn2)c[n]2[2*])c[s]1	489856192-842142322	0	benzoimidazole_b-8
[1*]Cc(nn1)c[n]1[2*]	407472317-273679983	0	benzoimidazole_b-8
CC(c(nn1)c[n]1[2*])[1*]	806728351-008639953	0	benzoimidazole_b-8
[1*]COCCc(nn1)c[n]1[2*]	434104300-081818170	0	benzoimidazole_b-8
[1*]COCCCc(nn1)c[n]1[2*]	050082021-014113879	0	benzoimidazole_b-8
[1*]c1cnc(-c(nn2)c[n]2[2*])[o]1	234749141-162088249	0	benzoimidazole_b-8
[1*]CNCc(nn1)c[n]1[2*]	722090507-176039399	0	benzoimidazole_b-8
[1*]C1(CC1)c(nn1)c[n]1[2*]	497145690-339049816	0	benzoimidazole_b-8
[1*]c(nn1)c[n]1[2*]	922455347-788847077	0	benzoimidazole_b-8
[1*]c1c[o]c(-c(nn2)c[n]2[2*])n1	039393328-357444062	0	benzoimidazole_b-8
CC(C)(c(nn1)c[n]1[2*])[1*]	272185803-243122365	0	benzoimidazole_b-8
NC(Cc(nn1)c[n]1[2*])C[1*]	178778844-826456234	0	benzoimidazole_b-8
N[C@H](CCc(nn1)c[n]1[2*])[1*]	984726743-346208695	0	benzoimidazole_b-8
FC(Cc(nn1)c[n]1[2*])[1*]	154968621-052512837	0	benzoimidazole_b-8
CC(Cc(nn1)c[n]1[2*])[1*]	862333647-166729791	0	benzoimidazole_b-8
N#Cc1ccc(C(C[2*])=O)[s]1	956652961-712098415	1	benzoimidazole_b-8
CC(O1)=NN(CC[2*])C1=O	975658575-623372445	1	benzoimidazole_b-8
CC(C)=C(C[2*])F	580137313-916741585	1	benzoimidazole_b-8
Cc1ccc(CC[2*])cc1	080302797-567374593	1	benzoimidazole_b-8
O=C(C[2*])c(c(F)ccc1)c1Cl	847139309-980747579	1	benzoimidazole_b-8
COC(C=CC[2*])=O	800302143-658469647	1	benzoimidazole_b-8
[2*]Cc1c[n](cc[s]2)c2n1	658923304-981616374	1	benzoimidazole_b-8
OC(CBr)C(C[2*])O	538680528-108609378	1	benzoimidazole_b-8
[2*]Cc(cc1)cc2c1[nH]cn2	275665407-122554481	1	benzoimidazole_b-8
COC(c1ncc(C[2*])cc1)=O	091295010-054898540	1	benzoimidazole_b-8
OC(C(C(Br)[2*])=O)=O	856864665-460027275	1	benzoimidazole_b-8
CCCN(CCC)CC[2*]	360224014-537905892	1	benzoimidazole_b-8
Fc1cnc(C[2*])cc1	356438047-680472401	1	benzoimidazole_b-8
