Name,Act
1520012,5.48
1520011,5.48
1520010,5.50
1520009,5.50
1520008,5.50
1520007,5.51
1520006,5.51
1520005,5.51
1520004,5.51
1520003,5.51
1520002,5.51
1520001,5.52
1520000,5.52
1520307,5.52
1520306,5.52
1520305,5.52
1520304,5.52
1520303,5.52
1520302,5.52
1520301,5.52
1520300,5.52
1520054,5.52
1520053,5.53
1520052,5.53
1520051,5.54
1520050,5.54
1520049,5.54
1520048,5.54
1520047,5.55
1520046,5.55
1520045,5.55
1520044,5.55
1520043,5.56
1520042,5.57
1520041,5.57
1520040,5.57
1520039,5.57
1520038,5.57
1520037,5.57
1520036,5.58
1520035,5.58
1520034,5.58
1520033,5.58
1520032,5.58
1520031,5.58
1520339,5.59
1520338,5.60
1520337,5.60
1520336,5.60
1520335,5.60
1520334,5.60
1520333,5.60
1520332,5.60
1520331,5.60
1520330,5.61
1520329,5.61
1520328,5.62
1520327,5.62
1520326,5.62
1520325,5.62
1520324,5.62
1520323,5.63
1520322,5.63
1520321,5.64
1520320,5.64
1520319,5.64
1520318,5.64
1520317,5.64
1520316,5.65
1520315,5.66
1520314,5.66
1520313,5.66
1520312,5.66
1520311,5.66
1520310,5.66
1520309,5.66
1520308,5.66
1520616,5.68
1520615,5.68
1520614,5.68
1520613,5.68
1520612,5.69
1520611,5.69
1520610,5.69
1520609,5.70
1520608,5.70
1520607,5.70
1520606,5.70
1520360,5.70
1520359,5.70
1520358,5.70
1520357,5.72
1520356,5.72
1520355,5.72
1520354,5.72
1520353,5.72
1520352,5.73
1520351,5.73
1520350,5.73
1520349,5.74
1520348,5.74
1520347,5.74
1520346,5.74
1520345,5.74
1520344,5.74
1520343,5.74
1520342,5.75
1520341,5.76
1520340,5.77
1520648,5.77
1520647,5.77
1520646,5.77
1520645,5.78
1520644,5.80
1520643,5.80
1520642,5.80
1520641,5.80
1520640,5.80
1520639,5.80
1520638,5.80
1520637,5.80
1520636,5.80
1520635,5.80
1520634,5.82
1520633,5.82
1520632,5.82
1520631,5.82
1520630,5.82
1520629,5.83
1520628,5.84
1520627,5.84
1520626,5.86
1520625,5.86
1520624,5.88
1520623,5.89
1520622,5.89
1520621,5.89
1520620,5.89
1520619,5.89
1520618,5.89
1520617,5.89
1520966,5.89
1520965,5.89
1520964,5.91
1520963,5.91
1520962,5.92
1520961,5.92
1520960,5.92
1520959,5.92
1520958,5.92
1520957,5.92
1520956,5.92
1520955,5.92
1520954,5.92
1520953,5.94
1520952,5.95
1520951,5.95
1520950,5.95
1520949,5.95
1520948,5.96
1520947,5.96
1520946,5.96
1520945,5.96
1520944,5.96
1520943,5.96
1520942,5.97
1520941,5.98
1520940,5.98
1520656,5.99
1520655,5.99
1520654,6.00
1520653,6.00
1520652,6.00
