SET_NAME,PATTERN_NAME,SMARTS,MIN_COUNT,SEVERITY_SCORE,SEVERITY_COMMENT,COVALENT,SPECIAL_MOL,ORIGINAL_SET,SET_DESCRIPTION,SOURCE,REFERENCE,NumMatchesPubChem2018,EX1,CID_Ex1,EX2,CID_Ex2,EX3,CID_Ex3,EX4,CID_Ex4,EX5,CID_Ex5
NIBR_Screeningdeck_2019,1_1_di_cyano,N#CCC#N,1,1,FLAG,1,0,Inhouse,N.A.,inhouse,no ref,64553,C1=CC(=C(C=C1Cl)C2C(O2)(C#N)C#N)Cl,100975698,CCCCN(CCCC)C1=CC=C(C=C1)/C=C/C=C(C#N)C#N,100975862,C1CCN(C1)C2=CC=C(S2)/C=C/C3=CC=C(S3)C(=C(C#N)C#N)C#N,100976129,CCN(CC)C1=CC=C(C=C1)/C=C/C2=CC=C(S2)C(=C(C#N)C#N)C3=CC=C(C=C3)N(CC)CC,100976132,CC(C)(C)C(C#N)(C#N)C1=CC=C(C=C1)[N+](=O)[O-],100976403
NIBR_Screeningdeck_2019,1_3_diazetidine_2_one,[!#6]=[*]1-[!#6]*[!#6]1,1,2,EXCLUDE,0,0,Inhouse,N.A.,inhouse,no ref,3414,C1=CC=C(C=C1)C(=O)C(=O)OCCOCCOC(=O)NCCCCCCN2C(=O)N(C2=O)CCCCCCN=C=O,87586130,CCC(C1=CC=CC(=C1)C)[N+]2(C(=O)NC23NC=CS3)C4=CC5=C(C=C4)OC(O5)(F)F,87595006,C1=CC=C(C(=C1)CC2=CC=C(C=C2)N3C(=O)N(C3=O)C4=CC=C(C=C4)CC5=CC=CC=C5N=C=O)N=C=O,89025310,CCCCCCC1(OC(=O)O1)C,134686840,C1(=O)OC(O1)(OC(=O)[O-])OC(=O)[O-].[Ca+2],134691335
NIBR_Screeningdeck_2019,2_2_dimethyl_4_5_dicarboxy_dithiole,C1(C)(C)SC(C(=O)O)=C(C(=O)O)S1,1,2,EXCLUDE,0,0,SureChEMBL,"subset of the ToxAlert database, tructural alerts for toxic chemicals and compounds with potential adverse reactions",literature,SureChEMBL ToxAlerts WebPage. https://www.surechembl.org/knowledgebase/169485-non-medchem-friendly-smarts,532,CC1=CC(=C2C(=C1)C3=C(C(N2C(=O)CN4C(=O)[C@@H]5CCCC[C@@H]5C4=O)(C)C)SC(=C(C36SC(=C(S6)C(=O)OC)C(=O)OC)C(=O)OC)C(=O)OC)C,99652051,CCOC(=O)C1=CC2(C3=C(S1)C(NC4=C3C=CC(=C4)C)(C)C)SC(=C(S2)C(=O)OC)C(=O)OC,3289516,COC(=O)C1=C(SC(S1)(CC=C)C(=O)OC)C(=O)OC,14954560,COC(=O)C1=C(SC2(S1)C(=C(C(=C(C23SC(=C(S3)C(=O)OC)C(=O)OC)F)C(F)(F)F)C(F)(F)F)F)C(=O)OC,12072575,CCOC(=O)C1=C(S[C@@H]2[C@@H](C13SC(=C(S3)C(=O)OCC)C(=O)OCC)C4=C(C=CC(=C4)C)N(C2(C)C)C)C(=O)OCC,98457036
NIBR_Screeningdeck_2019,2_amino_3_carbonyl_2_thiopene,O=C-N-c1scc(-c)c1-C(=O)-O,1,1,FLAG,0,0,Inhouse,N.A.,inhouse,no ref,31210,COC(=O)C1=C(SC=C1C2=CC=CC=C2Cl)NC(=O)COC(=O)C3=CC=C(C=C3)N4C=NN=N4,42237686,CC1=C(C(=C(S1)NC(=O)CN)C(=O)OC)C2=CC=C(C=C2)F,39177957,CCOC(=O)C1=C(SC=C1C2=CC=CS2)NC(=O)CN,39177866,C1=CC=C2C(=C1)C(=O)N(C2=O)C3=C(C(=CS3)C4=CC=CC=C4NC=O)C(=O)O,87592547,CC(=CC(=O)NC1=C(C(=CS1)C2=CC=CC=C2)C(=O)OCC3CCCO3)C,24518932
NIBR_Screeningdeck_2019,2_aminothiophene_3_carbaldehyde,[NH2]-c1sccc1-C=O,1,2,EXCLUDE,0,0,Inhouse,N.A.,inhouse,no ref,12176,CCC12CCCC3=C1C(=C(S3)N)C(=O)NC2=O,100988081,C1CC2CC1C3=C2SC(=C3C(=O)N)N,81531778,CCCOC(=O)C1=C(C(=C(S1)N)C(=O)OC)C,39197617,CCOC(=O)C1=C(SC=C1C2=CC=CC=C2NC=O)N,87591712,C1CN(CCC1C2=CC(=C(S2)N)C=O)C(=O)OCC3=CC=CC=C3,89025698
NIBR_Screeningdeck_2019,2_hydroxy_phenyl_hydrazone,[#7]-N=!@C-c1ccccc1-[OH],1,2,EXCLUDE,0,0,Inhouse,N.A.,inhouse,no ref,100,CC1=C(C(=C2C(=C(C(=C(C2=C1)C(C)C)O)O)/C=N/NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])O)C4=C(C=C5C(=C(C(=C(C5=C4O)/C=N/NC6=C(C=C(C=C6)[N+](=O)[O-])[N+](=O)[O-])O)O)C(C)C)C,18528860,CC1=CC(=C(C(=C1)C)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=C(C=C(C=C7C)C)C)C8=C(C=C(C=C8C)C)C)C=C4)C9=CC=C(C=C9)C(=O)N/N=C\C1=C(C=C(C=C1)C1=C2C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C5C=CC1=N5)C1=CC=C(C=C1)C(C)(C)C)C1=C(C=C(C=C1C)C)C)C=C4)C1=CC=C(C=C1)C(C)(C)C)N2)O)N3)C,101267698,CC(C)(C)C1=CC=CC(=C1O)C=[NH+]N(C=C2CC(=C)C=C(C2=O)C(C)(C)C)C3CCCCC3,88185508,C[C@H]([C@H](C(=O)N[C@H](C)C(=O)N(CC(=O)N1CCC[C@@H]1C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](CCC(=O)O)C(=O)N)/N=C/C2=C(C(=CC=C2)O)O)NC(=O)[C@H]3CCCN3C(=O)[C@@H](CCC(=O)O)NC(=O)[C@H]4CCCN4C(=O)CCCCNC(=S)NC5=CC(=C(C=C5)C(=O)O)C6=C7C=CC(=O)C=C7OC8=C6C=CC(=C8)O)O,16158377,CCCN(CC(=O)N[N+](=CC1=CC(=C(C(=C1O)Br)O)Br)CCC)C2=CC3=CC=CC=C3C=C2,123177527
NIBR_Screeningdeck_2019,2_nitro_furans_and_pyrroles,"[O]~N([c;R1]1[c;H1;R1][c;H1][c;R1][n,o]1)~[O]",1,1,FLAG,0,0,Inhouse,N.A.,inhouse,no ref,40096,C1=CC=C(C=C1)C(=O)N2C3=C(C=C(C=C3)F)N=C2C4=CC=C(O4)[N+](=O)[O-],100976276,COC1=CC=C(C=C1)N/N=C\C2=CC=C(O2)[N+](=O)[O-],100978109,CN1C(=CC=C1[N+](=O)[O-])C(=O)[N+](=O)C(C(C(C(F)F)(F)F)(F)F)(F)F,100986085,C1C2([C@@H](C(=NN2C3=CC=CC=C3)C4=CC=C(O4)[N+](=O)[O-])C5=CC=CC=C5)C(=O)C6=CC=CC=C6O1,100992025,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2C=C(C[C@H](O2)C3=CC=C(O3)[N+](=O)[O-])O[Si](C)(C)C(C)(C)C)OC(=O)C)OC(=O)C)OC(=O)C,100995932
NIBR_Screeningdeck_2019,2_pyridyl_N_hydroxy_imide,O=C1-[#6]~[#6]-C(=O)N1-O-c2naaaa2,1,2,EXCLUDE,1,0,Inhouse,N.A.,inhouse,no ref,18,C1CC(=O)N(C1=O)OC2=C(C=C(C=N2)C(F)(F)F)Cl,1486829,CC(C)NC1=NC(=NC(=N1)NCC2CC2)ON3C(=O)CCC3=O,322698,C1=CC=C2C(=C1)C(=NN=C2ON3C(=O)C4=CC=CC=C4C3=O)NCC(=O)O,44157541,,,,
NIBR_Screeningdeck_2019,3_alpha_peptide_cycle,C1[C!r3!r4!r5!r6!r7!r8](=O)-NC[C!r3!r4!r5!r6!r7!r8](=O)NC[C!r3!r4!r5!r6!r7!r8](=O)N1,1,2,EXCLUDE,0,1,PEPTIDE,Peptides and close analogues,inhouse,no ref,188,C1C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN=C(N)N)CC(=O)O,11198227,CC[C@@H](C)[C@@H](C(=O)O)NC(=O)CC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCC(=O)O)CC2=CC=C(C=C2)OP(=O)(O)O,56675166,CC[C@@H](C)[C@@H]1C(=O)N([C@H](C(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2)CCCCN)C(=O)[C@H](CC3=CC=C(C=C3)O)N,56675769,CCC(C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)C(C)C)CO,58652449,C1=CC=C2C(=C1)C(=CN2)C[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)N3)CC4=CNC5=CC=CC=C54)CO,58652442
NIBR_Screeningdeck_2019,3_consecutive_aliphatic_nitrogen,[N;!R]-[N;!R]-[N;!R],1,2,EXCLUDE,0,0,BMS,Exclusion and informational filters for HTS and hit list triaging,literature,"Pearce, B. C., Sofia, M. J., Good, A. C., Drexler, D. M., & Stock, D. A. (2006). An empirical process for the design of high-throughput screening deck filters. Journal of chemical information and modeling, 46(3), 1060-1068.",11700,CCOC(=O)N=NN(C)N=NC(=O)OCC,100984231,CC(CCCNS(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C)N(CCCNCCCN)[N]N=[N-],100985659,COC1=CC(=C(C=C1)CNNNC2=C(C=CC=C2OC)C(=N)N=C(CCCO)N)OC,129260115,CC(=O)NNNC1=C(C=CC=C1OC)C(=N)N2C=NC=N2,129260180,C/C=N/N/N=C\N=C,129263474
