molregno,smiles,chemblid
349069,Fc1ccc(c(Cl)c1Cl)n2nnnc2Cc3cccnc3,CHEMBL207525
701361,Cc1cc(C)cc(\C=C(\SCc2ccc(Cl)cc2)/C(=O)c3ccc(Cl)cc3)c1,CHEMBL1242135
2126106,CC1N(CCc2c1nnn2c3cc(C)cc(C)n3)C(=O)c4cccc(c4Cl)C(F)(F)F,CHEMBL3916735
1416012,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc3c(NC(=O)Nc4ccc(cc4)C(F)(F)F)cccc3C1=O,CHEMBL2144061
430789,N#CC(Nc1ccccc1)c2occc2,CHEMBL261444
2183198,Clc1cccc(c1)c2ccc(OCC(=O)Cn3nnc4ccccc34)cc2,CHEMBL3973827
232022,CC(=O)N(O)CCCCCCCC(=O)Nc1ccccc1,CHEMBL138626
50051,Nc1nc(N)c(CCCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c3ccc(c(F)c3[N+](=O)[O-])[N+](=O)[O-])c(O)n1,CHEMBL286425
123826,Clc1cccc(Cl)c1CC(=O)NC2CCN(Cc3ccccc3)CC2,CHEMBL77352
885773,COCCN(C(C(=O)NC1CCCC1)c2ccc(C)cc2)C(=O)CCCC(=O)Nc3ccccn3,CHEMBL1461889
1522451,COc1ccccc1\C=N\OC2CN3CCC2CC3,CHEMBL2332818
447134,Nc1nc(Sc2cccc(Cl)c2)c(C#N)c(c3ccc4OCCOc4c3)c1C#N,CHEMBL486229
2048828,COc1ccc(C[C@H](N)COc2nc(nc3sc4CCCCc4c23)c5ccncc5)cc1,CHEMBL3729318
1978003,COc1ccc(Cn2c(nnc2[C@@H](Cc3c[nH]c4ccccc34)NC(=O)c5ccccn5)[C@@H](Cc6ccccc6)NC=O)cc1,CHEMBL3645256
854370,CC(NS(=O)(=O)c1cc(C)ccc1C)C(=O)Nc2ccc(cc2)c3nc4ccccc4s3,CHEMBL1430486
850197,COc1ccc2c(CC(=O)OCC(=O)NC(=O)N)coc2c1,CHEMBL1426313
1490076,CCOC(=O)C1C(CC(=CC1=O)c2ccc(Cl)cc2)c3ccc(OC)cc3,CHEMBL2272750
