molregno,smiles,chemblid,SubstructureMatches,Min_N_O_filter,Frac_N_O,Covalent,SpecialMol,SeverityScore
349069,Fc1ccc(c(Cl)c1Cl)n2nnnc2Cc3cccnc3,CHEMBL207525,NIBR_Screeningdeck_2019_halogen_aromatic_count_3_min(3) | NIBR_Screeningdeck_2019_polyhalogenated_aromate_min(1),no match,0.23809523809523808,0,0,1
701361,Cc1cc(C)cc(\C=C(\SCc2ccc(Cl)cc2)/C(=O)c3ccc(Cl)cc3)c1,CHEMBL1242135,no match,no match,0.03571428571428571,0,0,0
2126106,CC1N(CCc2c1nnn2c3cc(C)cc(C)n3)C(=O)c4cccc(c4Cl)C(F)(F)F,CHEMBL3916735,no match,no match,0.1935483870967742,0,0,0
1416012,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc3c(NC(=O)Nc4ccc(cc4)C(F)(F)F)cccc3C1=O,CHEMBL2144061,NIBR_Screeningdeck_2019_acetal_aminal_acyclic_min(1),no match,0.2222222222222222,0,0,0
430789,N#CC(Nc1ccccc1)c2occc2,CHEMBL261444,no match,no match,0.2,0,0,0
2183198,Clc1cccc(c1)c2ccc(OCC(=O)Cn3nnc4ccccc34)cc2,CHEMBL3973827,no match,no match,0.18518518518518517,0,0,0
232022,CC(=O)N(O)CCCCCCCC(=O)Nc1ccccc1,CHEMBL138626,NIBR_Screeningdeck_2019_hydroxamic_acid_min(1) | NIBR_Screeningdeck_2019_long_chain_aliphatic_min(1) | NIBR_Screeningdeck_2019_long_chain_flexible_C_min(1),no match,0.23809523809523808,0,0,2
50051,Nc1nc(N)c(CCCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c3ccc(c(F)c3[N+](=O)[O-])[N+](=O)[O-])c(O)n1,CHEMBL286425,NIBR_Screeningdeck_2019_nitro_count_1_min(1) | NIBR_Screeningdeck_2019_nitro_count_2_min(2) | NIBR_Screeningdeck_2019_para_nitro_arylamines_min(1),no match,0.3953488372093023,0,0,2
123826,Clc1cccc(Cl)c1CC(=O)NC2CCN(Cc3ccccc3)CC2,CHEMBL77352,no match,no match,0.12,0,0,0
885773,COCCN(C(C(=O)NC1CCCC1)c2ccc(C)cc2)C(=O)CCCC(=O)Nc3ccccn3,CHEMBL1461889,NIBR_Screeningdeck_2019_amide_acyclic_count_2_min(2),no match,0.22857142857142856,0,0,0
1522451,COc1ccccc1\C=N\OC2CN3CCC2CC3,CHEMBL2332818,no match,no match,0.21052631578947367,0,0,0
447134,Nc1nc(Sc2cccc(Cl)c2)c(C#N)c(c3ccc4OCCOc4c3)c1C#N,CHEMBL486229,NIBR_Screeningdeck_2019_dicyano_vinyl_min(1),no match,0.20689655172413793,1,0,10
2048828,COc1ccc(C[C@H](N)COc2nc(nc3sc4CCCCc4c23)c5ccncc5)cc1,CHEMBL3729318,no match,no match,0.1875,0,0,0
1978003,COc1ccc(Cn2c(nnc2[C@@H](Cc3c[nH]c4ccccc34)NC(=O)c5ccccn5)[C@@H](Cc6ccccc6)NC=O)cc1,CHEMBL3645256,no match,no match,0.2222222222222222,0,0,0
854370,CC(NS(=O)(=O)c1cc(C)ccc1C)C(=O)Nc2ccc(cc2)c3nc4ccccc4s3,CHEMBL1430486,NIBR_Screeningdeck_2019_element_S_count_2_min(2),no match,0.1875,0,0,0
850197,COc1ccc2c(CC(=O)OCC(=O)NC(=O)N)coc2c1,CHEMBL1426313,NIBR_Screeningdeck_2019_acetal_aminal_acyclic_min(1) | NIBR_Screeningdeck_2019_acetyl_urea_min(1),no match,0.36363636363636365,0,0,1
1490076,CCOC(=O)C1C(CC(=CC1=O)c2ccc(Cl)cc2)c3ccc(OC)cc3,CHEMBL2272750,no match,no match,0.14814814814814814,0,0,0
685632,[Br-].CC\C(=C(/c1ccccc1)\c2ccc(OCC[N+](C)(C)C(C)C)cc2)\c3ccccc3,CHEMBL1213785,NIBR_Screeningdeck_2019_permanent_positive_charge_min(1) | NIBR_Screeningdeck_2019_stilbene_analogs_min(1),no match,0.0625,0,0,1
1347106,CCSc1nc(NCc2ccc(OC)cc2)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n1,CHEMBL2037560,NIBR_Screeningdeck_2019_nucleoside_2_min(1),no match,0.3225806451612903,0,1,10
709044,Fc1cccc(c1)C(=O)c2c[nH]c(n2)c3ccccc3,CHEMBL1269808,no match,no match,0.15,0,0,0
1968265,CC(C)[C@H]1NC(=O)C[C@@H]2OC(=O)Cc3cc(Br)ccc3CNC(=O)[C@@H](CSSCC\C=C\2)NC1=O,CHEMBL3628313,NIBR_Screeningdeck_2019_alpha_peptide_min(1) | NIBR_Screeningdeck_2019_element_S_count_2_min(2) | NIBR_Screeningdeck_2019_S_S_single_bond_min(1),no match,0.22857142857142856,0,1,10
2042649,CNC(=O)c1ccc(cc1)c2nc(COc3cc(OC)cc4oc(cc34)c5cn6nc(OC)sc6n5)c(C)s2,CHEMBL3715215,NIBR_Screeningdeck_2019_element_S_count_2_min(2),no match,0.2564102564102564,0,0,0
60634,Fc1ccc(CN2CCC(CNCC(c3ccccc3)c4ccccc4)CC2)cc1,CHEMBL39262,no match,no match,0.06666666666666667,0,0,0
1015911,O=C(CN1C(=O)N(CC2CCC(CC2)C(=O)NCCc3ccccc3)C(=O)c4ccccc14)Nc5ccccc5,CHEMBL1592027,NIBR_Screeningdeck_2019_amide_acyclic_count_2_min(2),no match,0.2,0,0,0
790120,OC(=O)\C=C\C(=O)Nc1ccc2C(=O)c3ccccc3C(=O)c2c1,CHEMBL1366236,NIBR_Screeningdeck_2019_quinone_1_4_min(1),no match,0.25,1,0,10
115690,CC1=C(N2CC2)C(=O)C(=C(N3CC3)C1=O)C,CHEMBL311910,NIBR_Screeningdeck_2019_aziridine_like_N_in_3_membered_ring_min(1) | NIBR_Screeningdeck_2019_quinone_1_4_min(1),no match,0.25,2,0,10
606211,CC(=O)NCCNC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL609775,NIBR_Screeningdeck_2019_amide_acyclic_count_2_min(2),no match,0.46153846153846156,0,0,0
391634,Oc1ccc(cc1NC(=O)Cc2ccc(F)cc2)[N+](=O)[O-],CHEMBL242088,NIBR_Screeningdeck_2019_nitro_count_1_min(1),no match,0.2857142857142857,0,0,0
255381,NCNC[C@@H](N)CCC\N=C(\N)/N[N+](=O)[O-],CHEMBL152583,NIBR_Screeningdeck_2019_acetal_aminal_acyclic_min(1) | NIBR_Screeningdeck_2019_acyclic_N-C-N_min(1) | NIBR_Screeningdeck_2019_acyclic_nitroamino_min(1) | NIBR_Screeningdeck_2019_guanidines_min(1) | NIBR_Screeningdeck_2019_hydrazine_min(1),no match,0.5625,0,0,10
1582607,COc1ccc(cc1)S(=O)(=O)N2CCc3nc4ccccc4c(C(=O)O)c3C2,CHEMBL2430559,no match,no match,0.25,0,0,0
2189829,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(Br)cc3[C@@]24NC(=N)N(CC(C)(C)O)C4=O,CHEMBL3980458,NIBR_Screeningdeck_2019_guanidines_min(1),no match,0.21428571428571427,0,0,0
