# Copyright (C) 2002 Rational Discovery LLC
#   This file is part of the RDKit.
#   The contents are covered by the terms of the BSD license
#   which is included in the file license.txt, found at the root
#   of the RDKit source tree.
#Code	Description	SMARTS	MOE_SMARTS	Notes

##########
# Oxygens
##########
fr_C=O	"Number of carbonyl O"	[CX3]=[OX1]	C=O	"Includes carboxylic acids, esters, amides, etc."
fr_C=O_noCOO	"Number of carbonyl O, excluding COOH"	[C!$(C-[OH])]=O	[C!$(C-[OH])]=O	"Excludes COOH but not COO- (assumes no formal charge) hydroxyls.  Includes esters, amides, etc."
fr_Al_OH	"Number of aliphatic hydroxyl groups"	[C!$(C=O)]-[OH]	[C!$(C=O)]-[OH]	"Excludes COOH but not COO- (assumes no formal charge) hydroxyls"
fr_Ar_OH	"Number of aromatic hydroxyl groups"	c[OH1]	c[OH1]	
fr_methoxy	"Number of methoxy groups -OCH3"	[OX2](-[#6])-[CH3]	O(-[#6])-CH3	"Aliphatic. Includes esters. Includes OMe groups on aromatic rings."
fr_oxime	"Number of oxime groups"	[CX3]=[NX2]-[OX2]	C=N-O	
fr_ester	"Number of esters"	[#6][CX3](=O)[OX2H0][#6]	C(=O)O-C	
fr_Al_COO	"Number of aliphatic carboxylic acids"	C-C(=O)[O;H1,-]	"C-C(=O)[OH] or C-C(=O)[O-]"	
fr_Ar_COO	"Number of Aromatic carboxylic acide"	c-C(=O)[O;H1,-]	"c-C(=O)[OH] or c-C(=O)[O-]"	
fr_COO	"Number of carboxylic acids"	[#6]C(=O)[O;H,-1]	"[#6]C(=O)[OH] or [#6]C(=O)[O-]"	
fr_COO2	"Number of carboxylic acids"	[CX3](=O)[OX1H0-,OX2H1]	"[#6]C(=O)[OH] or [#6]C(=O)[O-]"	
fr_ketone	"Number of ketones"	[#6][CX3](=O)[#6]
fr_ether	"Number of ether oxygens (including phenoxy)"	[OD2]([#6])[#6]
fr_phenol	"Number of phenols"	[OX2H]-c1ccccc1
fr_aldehyde	"Number of aldehydes"	[CX3H1](=O)[#6]

############
# Nitrogens
############
fr_quatN	"Number of quaternary nitrogens"	[$([NX4+]),$([NX4]=*)]	[NX4]	
fr_NH2	"Number of Primary amines"	[NH2,nH2]	[NH2]	"Include aromatic Ns"
fr_NH1	"Number of Secondary amines"	[NH1,nH1]	"[NH1] or [nH1]"	
fr_NH0	"Number of Tertiary amines"	[NH0,nH0]	"[NH0] or [nH0]"	
fr_Ar_N	"Number of aromatic nitrogens"	n	n	
fr_Ar_NH	"Number of aromatic amines"	[nH]
fr_aniline	"Number of anilines"	c-[NX3;!$(N=*)]
fr_Imine	"Number of Imines"	[Nv3](=C)-[#6]	[Nv3](=C)-[#6]	"Aliphatic.  Excludes aromatic sp2 nitrogens."
fr_nitrile	"Number of nitriles"	[NX1]#[CX2]	C#N	
fr_hdrzine	"Number of hydrazine groups"	[NX3]-[NX3]	[NX3]-[NX3]	"Includes primary, secondary hydrazines, carbazides, cyclic hydrazines.  Excludes hydrazones"
fr_hdrzone	"Number of hydrazone groups"	C=N-[NX3]	C=N-[NX3]	"Includes cyclic hydrazones"
fr_nitroso	"Number of nitroso groups, excluding NO2"	[N!$(N-O)]=O	[N!$(N-O)]=O	"Includes  N-N=O"
fr_N-O	"Number of hydroxylamine groups"	[N!$(N=O)](-O)-C	[N!$(N=O)](-O)-C	
fr_nitro	"Number of nitro groups"	[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]	N(=O)(O)[#6]	
#fr_nitro	"Number of nitro groups"	N(=O)(O)[#6]	N(=O)(O)[#6]	
fr_azo	"Number of azo groups"	[#6]-N=N-[#6]	[#6]-N=N-[#6]	"Both nitrogens must be attached to a C. Excludes azides."
fr_diazo	"Number of diazo groups"	[N+]#N	[N+]#N	
fr_azide	"Number of azide groups"	[$(*-[NX2-]-[NX2+]#[NX1]),$(*-[NX2]=[NX2+]=[NX1-])]	[#6]-N=[N+]=[N-]	
fr_amide	"Number of amides"	C(=O)-N	C(=O)-N	"Any amide"
fr_priamide	"Number of primary amides"	C(=O)-[NH2]	C(=O)-[NH2]	
fr_amidine	"Number of amidine groups"	C(=N)(-N)-[!#7]	C(=N)(-N)-[!#7]	"Excludes guanidine"
fr_guanido	"Number of guanidine groups"	C(=N)(N)N	C(=N)(N)N	
fr_Nhpyrrole	"Number of H-pyrrole nitrogens"	[nH]	[nH]	
fr_imide	"Number of imide groups"	N(-C(=O))-C=O	N(-C(=O))-C=O	
fr_isocyan	"Number of isocyanates"	N=C=O	N=C=O	
fr_isothiocyan	"Number of isothiocyanates"	N=C=S	N=C=S	
fr_thiocyan	"Number of thiocyanates"	S-C#N	S-C#N	

###########
# Halogens
###########
fr_halogen	"Number of halogens"	[#9,#17,#35,#53]	"F or I or Cl or Br"	
fr_alkyl_halide	"Number of alkyl halides"	[CX4]-[Cl,Br,I,F]

##########
# Sulfurs
##########
fr_sulfide	"Number of thioether"	[SX2](-[#6])-C	[SLp2](-[#6])-C	"Aliphatic. Excludes sulfones, etc.  Includes SMe groups on aromatic rings."
fr_SH	"Number of thiol groups"	[SH]	[SH]	
fr_C=S	"Number of thiocarbonyl"	C=[SX1]	C=S	"Includes thioamides, thioureas, etc."
fr_sulfone	"Number of sulfone groups"	S(=,-[OX1;+0,-1])(=,-[OX1;+0,-1])(-[#6])-[#6]	"S(=O)(=O)(-[#6])-[#6] or S(-[O-])(-[O-])(-[#6])-[#6]"	"Or charged form.  Excludes sulfonamides, sulfonyl Cl, etc.."
