// $Id: Functional_Group_Hierarchy.txt 10346 2013-07-04 14:53:03Z landrgr1 $
// Created by Greg Landrum, October 2006
//  Format: Name\tSmarts\tLabel\tRemovalReaction (optional)
//
//  NOTES:
//     1) be sure to make the distinguishing feature of the functional group
//        the first atom in the pattern
//     2) the RemovalReaction (if present) is used to remove the functional
//        group from the molecule. This is necessary for cases like boronic
//        ethers where the full functional group cannot be specified in SMARTS.
//
AcidChloride	C(=O)Cl	Acid Chloride
  AcidChloride.Aromatic	[$(C-!@[a])](=O)(Cl)	Aromatic
  AcidChloride.Aliphatic	[$(C-!@[A;!Cl])](=O)(Cl)	Aliphatic

CarboxylicAcid	C(=O)[O;H,-]	Carboxylic acid
  CarboxylicAcid.Aromatic	[$(C-!@[a])](=O)([O;H,-])	Aromatic
  CarboxylicAcid.Aliphatic	[$(C-!@[A;!O])](=O)([O;H,-])	Aliphatic
  CarboxylicAcid.AlphaAmino	[$(C-[C;!$(C=[!#6])]-[N;!H0;!$(N-[!#6;!#1]);!$(N-C=[O,N,S])])](=O)([O;H,-])	alpha Amino Acid

SulfonylChloride	[$(S-!@[#6])](=O)(=O)(Cl)	Sulfonyl Chloride
  SulfonylChloride.Aromatic	[$(S-!@c)](=O)(=O)(Cl)	 Aromatic
  SulfonylChloride.Aliphatic	[$(S-!@C)](=O)(=O)(Cl)	 Aliphatic

Amine				[N;$(N-[#6]);!$(N-[!#6;!#1]);!$(N-C=[O,N,S])]	Amine
  Amine.Primary			[N;H2;D1;$(N-!@[#6]);!$(N-C=[O,N,S])]		Primary
  Amine.Primary.Aromatic		[N;H2;D1;$(N-!@c);!$(N-C=[O,N,S])]		Primary aromatic
  Amine.Primary.Aliphatic	[N;H2;D1;$(N-!@C);!$(N-C=[O,N,S])]		Primary aliphatic
  Amine.Secondary		[N;H1;D2;$(N(-[#6])-[#6]);!$(N-C=[O,N,S])]	Secondary
  Amine.Secondary.Aromatic	[N;H1;D2;$(N(-[c])-[#6]);!$(N-C=[O,N,S])]	Secondary aromatic
  Amine.Secondary.Aliphatic	[N;H1;D2;$(N(-C)-C);!$(N-C=[O,N,S])]	Secondary aliphatic
  Amine.Tertiary		[N;H0;D3;$(N(-[#6])(-[#6])-[#6]);!$(N-C=[O,N,S])]	Tertiary
