MOLREGNO	CHEMBLID	SYNONYMS	MAX_PHASE	MOLWEIGHT	ALOGP	PSA	HBA	HBD	RO5	RTB	RO3	ACD_MOST_APKA	ACD_MOST_BPKA	ACD_LOGP	ACD_LOGD	AROMATIC_RINGS	HEAVY_ATOMS	QED_WEIGHTED	HBA_LIPINSKI	HBD_LIPINSKI	NUM_LIPINSKI_RO5_VIOLATIONS	MW_MONOISOTOPIC	MOLECULAR_SPECIES	FULL_MOLFORMULA	CANONICAL_SMILES
77085	CHEMBL893	R-13423 | BRL-1702 | Dynapen | P-1011 | Dycill | Pathocil | Dicloxacillin Sodium | Dicloxacillin | Pathocill	4	470.33	2.96	138.03	6	2	0	4	N	2.44		3.1	-.63	2	30	.66	8	2	0	469.0266	ACID	C19H17Cl2N3O5S	Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4c(Cl)cccc4Cl
77112	CHEMBL300653		0	378.44	.81	121.24	6	2	0	7	N	13.53		2.32	2.32	1	26	.54	7	2	0	378.1249	NEUTRAL	C18H22N2O5S	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)OCCO
77271	CHEMBL52169		0	587.04	2.61	156.57	9	1	1	9	N	11.17	4.41	4.62	4.62	2	40	.27	11	1	1	586.1289	NEUTRAL	C27H27ClN4O7S	CN1C=CCC(=C1)C(=O)OCOC(=O)[C@@H]2N3C(SC2(C)C)C(NC(=O)c4c(C)onc4c5ccccc5Cl)C3=O
77332	CHEMBL53241		0	485.55	1.43	130.54	8	1	0	9	N	13.5	4.41	3.3	3.29	1	34	.32	9	1	0	485.1621	NEUTRAL	C24H27N3O6S	CN1C=CCC(=C1)C(=O)OCOC(=O)C2N3C(SC2(C)C)C(NC(=O)Cc4ccccc4)C3=O
77334	CHEMBL301932		0	498.59	.8	133.35	7	2	0	9	N	13.54	4.76	2.35	2.35	1	35	.29	9	2	0	498.1937	NEUTRAL	C25H30N4O5S	CN1C=CCC(=C1)C(=O)NCCOC(=O)C2N3C(SC2(C)C)C(NC(=O)Cc4ccccc4)C3=O
77349	CHEMBL50587		0	531.58	1.36	149.01	10	1	1	10	N	11.65	4.41	2.42	2.42	1	37	.27	11	1	1	531.1675	NEUTRAL	C25H29N3O8S	COc1cccc(OC)c1C(=O)NC2C3SC(C)(C)[C@@H](N3C2=O)C(=O)OCOC(=O)C4=CN(C)C=CC4
77368	CHEMBL52111		0	378.44	.81	121.24	6	2	0	7	N	13.53		2.32	2.32	1	26	.54	7	2	0	378.1249	NEUTRAL	C18H22N2O5S	CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)OCCO
77552	CHEMBL295955		0	548.65	1.93	133.35	7	2	1	9	N	13.41	4.89	4.04	4.04	2	39	.28	9	2	0	548.2093	NEUTRAL	C29H32N4O5S	CN1Cc2ccccc2C(=C1)C(=O)NCCOC(=O)C3N4[C@H](SC3(C)C)[C@H](NC(=O)Cc5ccccc5)C4=O
77553	CHEMBL51718		0	574.69	2.41	133.34	7	2	1	10	N	13.52	4.76	3.91	3.91	2	41	.33	9	2	0	574.225	NEUTRAL	C31H34N4O5S	CN1C=CCC(=C1)C(=O)NCC(OC(=O)C2N3[C@H](SC2(C)C)[C@H](NC(=O)Cc4ccccc4)C3=O)c5ccccc5
77637	CHEMBL52291		0	512.62	1.18	133.35	7	2	1	9	N	13.53	4.77	2.7	2.7	1	36	.38	9	2	0	512.2093	NEUTRAL	C26H32N4O5S	CC(CNC(=O)C1=CN(C)C=CC1)OC(=O)C2N3[C@H](SC2(C)C)[C@H](NC(=O)Cc4ccccc4)C3=O
