"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL1782626"	""	""	"Small molecule"	"0"	"325.50"	"4"	"6"	"6.18"	"22.00"	"2"	"0"	"1"	"10"	"N"	"0.48"	"None"	"3.16"	"6.74"	"6.74"	"2"	"MOL"	"-1"	"24"	"2"	"0"	"1"	"325.2406"	"NEUTRAL"	"C22H31NO"	"CCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CCC"
"CHEMBL2106827"	"LOMEFLOXACIN MESYLATE"	"LOMEFLOXACIN MESYLATE|SC-47111B"	"Small molecule"	"0"	"447.46"	""	""	"1.80"	"74.57"	"5"	"2"	"0"	"3"	"N"	"0.88"	"5.45"	"8.70"	"-0.42"	"-0.42"	"2"	"MOL"	"0"	"25"	"6"	"2"	"0"	"351.1394"	"ZWITTERION"	"C18H23F2N3O6S"	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.CS(=O)(=O)O"
"CHEMBL1782648"	""	""	"Small molecule"	"0"	"395.63"	"4"	"6"	"8.13"	"22.00"	"2"	"0"	"1"	"15"	"N"	"0.28"	"None"	"3.20"	"8.96"	"8.96"	"2"	"MOL"	"-1"	"29"	"2"	"0"	"1"	"395.3188"	"NEUTRAL"	"C27H41NO"	"CCCCCCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CCCC"
"CHEMBL477741"	"ASIMICILONE"	"asimicilone"	"Small molecule"	"0"	"285.30"	"4"	"4"	"2.71"	"71.55"	"4"	"2"	"0"	"2"	"N"	"0.71"	"9.45"	"None"	"2.02"	"2.02"	"3"	"MOL"	"-1"	"21"	"5"	"2"	"0"	"285.1001"	"NEUTRAL"	"C16H15NO4"	"COc1c(OC)c2c(C)cc3c(O)cccc3c2[nH]c1=O"
"CHEMBL4078073"	""	""	"Small molecule"	"0"	"368.42"	"3"	"3"	"5.39"	"43.60"	"4"	"0"	"1"	"3"	"N"	"0.43"	"None"	"1.95"	"5.51"	"5.51"	"5"	"MOL"	"-1"	"28"	"4"	"0"	"1"	"368.1437"	"NEUTRAL"	"C23H17FN4"	"C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccccc4)cc3c21"
"CHEMBL2107495"	"TEMAFLOXACIN HYDROCHLORIDE"	"ABBOTT-62254|Omnifiox|TEFLOX|TEFLOX 400|TEMAFLOXACIN HYDROCHLORIDE"	"Small molecule"	"4"	"453.85"	""	""	"2.90"	"74.57"	"5"	"2"	"0"	"3"	"N"	"0.69"	"5.41"	"8.76"	"1.06"	"1.06"	"3"	"MOL"	"0"	"30"	"6"	"2"	"0"	"417.1300"	"ZWITTERION"	"C21H19ClF3N3O3"	"CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1.Cl"
"CHEMBL1782630"	""	""	"Small molecule"	"0"	"353.55"	"4"	"6"	"6.96"	"22.00"	"2"	"0"	"1"	"12"	"N"	"0.38"	"None"	"3.20"	"7.63"	"7.63"	"2"	"MOL"	"-1"	"26"	"2"	"0"	"1"	"353.2719"	"NEUTRAL"	"C24H35NO"	"CCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CCCCC"
"CHEMBL2078925"	"OLAMUFLOXACIN"	"OLAMUFLOXACIN"	"Small molecule"	"0"	"386.43"	""	""	"1.99"	"114.58"	"6"	"3"	"0"	"3"	"N"	"0.70"	"5.76"	"9.37"	"-0.18"	"-0.17"	"2"	"MOL"	"0"	"28"	"7"	"5"	"0"	"386.1754"	"ZWITTERION"	"C20H23FN4O3"	"Cc1c(N2C[C@@H](N)C3(CC3)C2)c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c12"
"CHEMBL2106116"	"CADROFLOXACIN"	"CADROFLOXACIN"	"Small molecule"	"0"	"447.84"	""	""	"2.57"	"83.80"	"6"	"2"	"0"	"5"	"N"	"0.79"	"5.59"	"8.72"	"0.33"	"0.33"	"2"	"MOL"	"0"	"29"	"7"	"2"	"0"	"411.1406"	"ZWITTERION"	"C19H21ClF3N3O4"	"C[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC(F)F)CCN1.Cl"
"CHEMBL1232567"	""	"4-Hydroxyquinoline|4-Quinolone"	"Small molecule"	"0"	"145.16"	"11"	"25"	"1.94"	"33.12"	"2"	"1"	"0"	"0"	"Y"	"0.61"	"10.63"	"2.76"	"1.83"	"1.83"	"2"	"MOL"	"-1"	"11"	"2"	"1"	"0"	"145.0528"	"NEUTRAL"	"C9H7NO"	"Oc1ccnc2ccccc12"
"CHEMBL488819"	""	""	"Small molecule"	"0"	"271.36"	"1"	"1"	"3.71"	"49.93"	"2"	"1"	"0"	"5"	"N"	"0.84"	"10.74"	"None"	"4.70"	"4.70"	"2"	"MOL"	"-1"	"20"	"3"	"1"	"0"	"271.1572"	"NEUTRAL"	"C17H21NO2"	"CCc1ccc2[nH]cc(C(=O)CC(C)CC)c(=O)c2c1"
"CHEMBL205456"	""	""	"Small molecule"	"0"	"245.28"	"1"	"1"	"2.90"	"59.42"	"4"	"1"	"0"	"4"	"N"	"0.66"	"10.47"	"1.65"	"3.80"	"3.80"	"2"	"MOL"	"-1"	"18"	"4"	"1"	"0"	"245.1052"	"NEUTRAL"	"C14H15NO3"	"CCCCOC(=O)c1cnc2ccccc2c1O"
"CHEMBL37683"	"ESAFLOXACIN"	"ESAFLOXACIN|Esafloxacin"	"Small molecule"	"0"	"320.32"	"3"	"6"	"0.79"	"101.45"	"6"	"2"	"0"	"3"	"N"	"0.87"	"5.31"	"9.63"	"-1.16"	"-1.16"	"2"	"MOL"	"0"	"23"	"7"	"3"	"0"	"320.1285"	"ZWITTERION"	"C15H17FN4O3"	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(N)C3)nc21"
"CHEMBL471551"	""	""	"Small molecule"	"0"	"257.33"	"2"	"6"	"3.46"	"49.93"	"2"	"1"	"0"	"5"	"N"	"0.83"	"10.74"	"None"	"4.41"	"4.41"	"2"	"MOL"	"-1"	"19"	"3"	"1"	"0"	"257.1416"	"NEUTRAL"	"C16H19NO2"	"CCCCC(=O)c1c[nH]c2ccc(CC)cc2c1=O"
"CHEMBL1782631"	""	""	"Small molecule"	"0"	"325.50"	"5"	"8"	"6.18"	"22.00"	"2"	"0"	"1"	"10"	"N"	"0.48"	"None"	"2.87"	"6.66"	"6.66"	"2"	"MOL"	"-1"	"24"	"2"	"0"	"1"	"325.2406"	"NEUTRAL"	"C22H31NO"	"CCCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CC"
"CHEMBL2104463"	"VEBUFLOXACIN"	"VEBUFLOXACIN"	"Small molecule"	"0"	"359.40"	""	""	"2.10"	"65.78"	"5"	"1"	"0"	"2"	"N"	"0.89"	"5.55"	"6.42"	"1.36"	"0.58"	"2"	"MOL"	"0"	"26"	"6"	"1"	"0"	"359.1645"	"ACID"	"C19H22FN3O3"	"CC1CCc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23"
"CHEMBL3409681"	""	""	"Small molecule"	"0"	"474.60"	"1"	"2"	"5.98"	"49.41"	"3"	"1"	"1"	"4"	"N"	"0.51"	"13.78"	"None"	"4.83"	"4.83"	"3"	"MOL"	"-1"	"36"	"4"	"1"	"1"	"474.2307"	"NEUTRAL"	"C32H30N2O2"	"CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)N(Cc3ccccc3)C1)C2c1ccc(-c2ccccc2)cc1"
"CHEMBL4204054"	""	""	"Small molecule"	"0"	"428.40"	"10"	"10"	"3.92"	"54.34"	"4"	"1"	"0"	"10"	"N"	"0.62"	"None"	"9.14"	"3.51"	"1.77"	"2"	"MOL"	"-1"	"27"	"5"	"1"	"0"	"391.2027"	"BASE"	"C21H31Cl2N3O2"	"CCCCn1cc(C(=O)NCCCN(CC)CC)c(=O)c2ccc(Cl)cc21.Cl"
"CHEMBL2106745"	"NORFLOXACIN SUCCINIL"	"NORFLOXACIN SUCCINIL"	"Small molecule"	"0"	"419.41"	""	""	"1.37"	"120.15"	"6"	"2"	"0"	"6"	"N"	"0.73"	"4.00"	"0.01"	"0.88"	"-3.80"	"2"	"MOL"	"0"	"30"	"9"	"2"	"0"	"419.1493"	"ACID"	"C20H22FN3O6"	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)CCC(=O)O)CC3)cc21"
"CHEMBL2106560"	"FANDOFLOXACIN"	"FANDOFLOXACIN"	"Small molecule"	"0"	"400.39"	""	""	"2.11"	"78.67"	"6"	"1"	"0"	"3"	"N"	"0.73"	"5.27"	"6.39"	"1.44"	"0.60"	"3"	"MOL"	"0"	"29"	"7"	"1"	"0"	"400.1347"	"ACID"	"C20H18F2N4O3"	"CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cn2)CC1"
"CHEMBL2104028"	"AMIFLOXACIN MESYLATE"	"AMIFLOXACIN MESYLATE|WIN 49,375-3"	"Small molecule"	"0"	"430.46"	""	""	"0.76"	"77.81"	"6"	"2"	"0"	"3"	"N"	"0.86"	"5.62"	"6.45"	"-0.10"	"-0.83"	"2"	"MOL"	"0"	"24"	"7"	"2"	"0"	"334.1441"	"ACID"	"C17H23FN4O6S"	"CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21.CS(=O)(=O)O"
